Title;Plot;Genres;Rating
Avengers: Infinity War;The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.;Action, Adventure, Fantasy, Sci-Fi;8.5
Bohemian Rhapsody;The story of the legendary rock band Queen and lead singer Freddie Mercury, leading up to their famous performance at Live Aid (1985).;Biography, Drama, Music;8.3
A Star Is Born;A musician helps a young singer find fame, even as age and alcoholism send his own career into a downward spiral.;Drama, Music, Romance;7.9
Deadpool 2;Foul-mouthed mutant mercenary Wade Wilson (AKA. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg, Cable.;Action, Adventure, Comedy, Sci-Fi;7.8
Incredibles 2;The Incredibles hero family takes on a new mission, which involves a change in family roles: Bob Parr (Mr Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.;Animation, Action, Adventure, Comedy, Family, Sci-Fi;7.8
Mission: Impossible - Fallout;Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.;Action, Adventure, Thriller;7.8
Creed II;Under the tutelage of Rocky Balboa, heavyweight contender Adonis Creed faces off against Viktor Drago, son of Ivan Drago.;Drama, Sport;7.5
Ready Player One;When the creator of a virtual reality world called the OASIS dies, he releases a video in which he challenges all OASIS users to find his Easter Egg, which will give the finder his fortune.;Action, Adventure, Sci-Fi;7.5
First Man;A look at the life of the astronaut, Neil Armstrong, and the legendary space mission that led him to become the first man to walk on the Moon on July 20, 1969.;Biography, Drama, History;7.5
Black Panther;T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.;Action, Adventure, Sci-Fi;7.4
Aquaman;Arthur Curry, the human-born heir to the underwater kingdom of Atlantis, goes on a quest to prevent a war between the worlds of ocean and land.;Action, Adventure, Fantasy, Sci-Fi;7.4
